recall,qps,dataset,algorithm_label,variant
0.8587,193.1,artificial-corr-12-original,ACORN,original
0.9295,112.2,artificial-corr-12-original,ACORN,original
0.9727,66.3,artificial-corr-12-original,ACORN,original
0.9917,39.4,artificial-corr-12-original,ACORN,original
0.998,29.7,artificial-corr-12-original,ACORN,original
0.867448,1957.86,artificial-corr-12-original,DiGRA,original
0.901448,1500.1,artificial-corr-12-original,DiGRA,original
0.914152,1395.2,artificial-corr-12-original,DiGRA,original
0.948571,1093.33,artificial-corr-12-original,DiGRA,original
0.960238,904.995,artificial-corr-12-original,DiGRA,original
0.961185,845.925,artificial-corr-12-original,DiGRA,original
0.970671,785.895,artificial-corr-12-original,DiGRA,original
0.984856,598.032,artificial-corr-12-original,DiGRA,original
0.989329,516.835,artificial-corr-12-original,DiGRA,original
0.992654,437.85,artificial-corr-12-original,DiGRA,original
0.996675,326.733,artificial-corr-12-original,DiGRA,original
0.997868,293.442,artificial-corr-12-original,DiGRA,original
0.998616,244.99,artificial-corr-12-original,DiGRA,original
0.999418,180.914,artificial-corr-12-original,DiGRA,original
0.999668,167.922,artificial-corr-12-original,DiGRA,original
0.999792,138.065,artificial-corr-12-original,DiGRA,original
0.999951,96.1179,artificial-corr-12-original,DiGRA,original
0.840549,2620.82,artificial-corr-12-original,iRangeGraph,original
0.855571,2373.37,artificial-corr-12-original,iRangeGraph,original
0.901136,1825.76,artificial-corr-12-original,iRangeGraph,original
0.907537,1482.13,artificial-corr-12-original,iRangeGraph,original
0.931236,1442.9,artificial-corr-12-original,iRangeGraph,original
0.944313,1270.1,artificial-corr-12-original,iRangeGraph,original
0.965851,1006.72,artificial-corr-12-original,iRangeGraph,original
0.968412,823.844,artificial-corr-12-original,iRangeGraph,original
0.976697,775.619,artificial-corr-12-original,iRangeGraph,original
0.984086,680.489,artificial-corr-12-original,iRangeGraph,original
0.991192,539.276,artificial-corr-12-original,iRangeGraph,original
0.99194,462.147,artificial-corr-12-original,iRangeGraph,original
0.993872,417.039,artificial-corr-12-original,iRangeGraph,original
0.9967,367.484,artificial-corr-12-original,iRangeGraph,original
0.998419,307.545,artificial-corr-12-original,iRangeGraph,original
0.998546,262.608,artificial-corr-12-original,iRangeGraph,original
0.998718,230.053,artificial-corr-12-original,iRangeGraph,original
0.999486,204.097,artificial-corr-12-original,iRangeGraph,original
0.999812,174.636,artificial-corr-12-original,iRangeGraph,original
0.999822,152.718,artificial-corr-12-original,iRangeGraph,original
0.9657,243.3,artificial-corr-12-shuffled,ACORN,shuffled
0.9888,140.5,artificial-corr-12-shuffled,ACORN,shuffled
0.997,80.6,artificial-corr-12-shuffled,ACORN,shuffled
0.9993,45.1,artificial-corr-12-shuffled,ACORN,shuffled
0.9999,27.8,artificial-corr-12-shuffled,ACORN,shuffled
0.959819,2025.5,artificial-corr-12-shuffled,DiGRA,shuffled
0.965658,1704.24,artificial-corr-12-shuffled,DiGRA,shuffled
0.979745,1521.22,artificial-corr-12-shuffled,DiGRA,shuffled
0.980346,1333.45,artificial-corr-12-shuffled,DiGRA,shuffled
0.989716,1135.64,artificial-corr-12-shuffled,DiGRA,shuffled
0.991045,956.032,artificial-corr-12-shuffled,DiGRA,shuffled
0.992679,951.779,artificial-corr-12-shuffled,DiGRA,shuffled
0.995813,861.254,artificial-corr-12-shuffled,DiGRA,shuffled
0.996563,756.571,artificial-corr-12-shuffled,DiGRA,shuffled
0.998068,630.557,artificial-corr-12-shuffled,DiGRA,shuffled
0.998825,547.88,artificial-corr-12-shuffled,DiGRA,shuffled
0.998993,534.624,artificial-corr-12-shuffled,DiGRA,shuffled
0.999426,484.88,artificial-corr-12-shuffled,DiGRA,shuffled
0.999617,428.492,artificial-corr-12-shuffled,DiGRA,shuffled
0.999746,349.085,artificial-corr-12-shuffled,DiGRA,shuffled
0.999904,314.183,artificial-corr-12-shuffled,DiGRA,shuffled
0.999917,302.247,artificial-corr-12-shuffled,DiGRA,shuffled
0.99994,272.645,artificial-corr-12-shuffled,DiGRA,shuffled
0.999976,242.671,artificial-corr-12-shuffled,DiGRA,shuffled
0.999994,180.1,artificial-corr-12-shuffled,DiGRA,shuffled
0.999995,137.166,artificial-corr-12-shuffled,DiGRA,shuffled
0.999996,102.792,artificial-corr-12-shuffled,DiGRA,shuffled
0.955432,2392.35,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.957599,2198.67,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.975273,1658.98,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.982446,1459.78,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.988652,1312.11,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.990242,1197.37,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.994615,957.351,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.997062,834.506,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.998075,718.754,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.998583,648.294,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999189,548.861,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999698,477.925,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999808,411.515,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999883,363.953,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999927,316.369,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999983,279.219,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999987,247.961,artificial-corr-12-shuffled,iRangeGraph,shuffled
0.999993,204.527,artificial-corr-12-shuffled,iRangeGraph,shuffled
1.0,166.44,artificial-corr-12-shuffled,iRangeGraph,shuffled
