recall,qps,dataset,algorithm_label,variant
0.8649,392.6,cc_news-original,ACORN,original
0.901,217.8,cc_news-original,ACORN,original
0.9169,119.9,cc_news-original,ACORN,original
0.9238,62.3,cc_news-original,ACORN,original
0.9262,31.0,cc_news-original,ACORN,original
0.976868,1815.74,cc_news-original,DiGRA,original
0.98718,1367.64,cc_news-original,DiGRA,original
0.990263,1080.14,cc_news-original,DiGRA,original
0.99136,882.104,cc_news-original,DiGRA,original
0.996539,840.262,cc_news-original,DiGRA,original
0.998299,531.478,cc_news-original,DiGRA,original
0.999322,304.403,cc_news-original,DiGRA,original
0.999328,186.487,cc_news-original,DiGRA,original
0.999329,111.601,cc_news-original,DiGRA,original
0.97292,3031.28,cc_news-original,iRangeGraph,original
0.981168,2621.56,cc_news-original,iRangeGraph,original
0.985675,2351.24,cc_news-original,iRangeGraph,original
0.987831,1798.73,cc_news-original,iRangeGraph,original
0.992487,1667.45,cc_news-original,iRangeGraph,original
0.996094,1465.04,cc_news-original,iRangeGraph,original
0.997556,1311.71,cc_news-original,iRangeGraph,original
0.998242,1052.23,cc_news-original,iRangeGraph,original
0.999092,826.858,cc_news-original,iRangeGraph,original
0.999406,738.043,cc_news-original,iRangeGraph,original
0.999802,613.286,cc_news-original,iRangeGraph,original
0.99998,362.319,cc_news-original,iRangeGraph,original
0.999998,214.903,cc_news-original,iRangeGraph,original
0.8301,351.2,cc_news-shuffled,ACORN,shuffled
0.8742,195.5,cc_news-shuffled,ACORN,shuffled
0.8954,105.3,cc_news-shuffled,ACORN,shuffled
0.9041,54.9,cc_news-shuffled,ACORN,shuffled
0.9073,27.6,cc_news-shuffled,ACORN,shuffled
0.983949,1437.64,cc_news-shuffled,DiGRA,shuffled
0.985061,1237.48,cc_news-shuffled,DiGRA,shuffled
0.992822,1025.19,cc_news-shuffled,DiGRA,shuffled
0.996038,818.882,cc_news-shuffled,DiGRA,shuffled
0.996561,709.467,cc_news-shuffled,DiGRA,shuffled
0.996972,600.343,cc_news-shuffled,DiGRA,shuffled
0.998713,590.597,cc_news-shuffled,DiGRA,shuffled
0.998758,528.697,cc_news-shuffled,DiGRA,shuffled
0.999726,357.514,cc_news-shuffled,DiGRA,shuffled
0.999903,211.077,cc_news-shuffled,DiGRA,shuffled
0.999912,127.42,cc_news-shuffled,DiGRA,shuffled
0.968181,2619.81,cc_news-shuffled,iRangeGraph,shuffled
0.969234,2440.83,cc_news-shuffled,iRangeGraph,shuffled
0.98014,2024.31,cc_news-shuffled,iRangeGraph,shuffled
0.984482,1799.79,cc_news-shuffled,iRangeGraph,shuffled
0.986637,1674.31,cc_news-shuffled,iRangeGraph,shuffled
0.992547,1542.86,cc_news-shuffled,iRangeGraph,shuffled
0.993408,1326.63,cc_news-shuffled,iRangeGraph,shuffled
0.996182,1151.15,cc_news-shuffled,iRangeGraph,shuffled
0.997647,1012.94,cc_news-shuffled,iRangeGraph,shuffled
0.998053,973.043,cc_news-shuffled,iRangeGraph,shuffled
0.998573,817.437,cc_news-shuffled,iRangeGraph,shuffled
0.998759,724.175,cc_news-shuffled,iRangeGraph,shuffled
0.999477,653.01,cc_news-shuffled,iRangeGraph,shuffled
0.999757,576.894,cc_news-shuffled,iRangeGraph,shuffled
0.999809,567.332,cc_news-shuffled,iRangeGraph,shuffled
0.999938,377.424,cc_news-shuffled,iRangeGraph,shuffled
0.999976,339.41,cc_news-shuffled,iRangeGraph,shuffled
0.999982,337.179,cc_news-shuffled,iRangeGraph,shuffled
0.999991,227.824,cc_news-shuffled,iRangeGraph,shuffled
0.999998,209.21,cc_news-shuffled,iRangeGraph,shuffled
1.0,207.952,cc_news-shuffled,iRangeGraph,shuffled
