dataset,algorithm,result_file,n,qps_mean,qps_sd,cv,dataset_label
artificial-corr-12-original,elasticsearch-hnsw,<remote_artifact>,3,54.47025362721819,0.16010559151590434,0.0029393215719469555,"C1
Artificial
original"
artificial-corr-12-original,faiss-hnsw,<remote_artifact>,5,5.75841498349632,0.02115189043192932,0.003673213982068133,"C1
Artificial
original"
artificial-corr-12-original,faiss-hnsw,<remote_artifact>,5,5.22972771923295,0.008784798388815197,0.0016797812162396234,"C1
Artificial
original"
artificial-corr-12-original,faiss-hnsw,<remote_artifact>,5,4.798309685300074,0.0107381406660033,0.002237900713015726,"C1
Artificial
original"
artificial-corr-12-original,faiss-ivfpq,<remote_artifact>,3,5.232412088869048,0.0035197800916556203,0.0006726878601827399,"C1
Artificial
original"
artificial-corr-12-original,hnswlib-hnsw,<remote_artifact>,5,4.269614325407491,0.19483661477955935,0.045633305476827625,"C1
Artificial
original"
artificial-corr-12-original,hnswlib-hnsw,<remote_artifact>,5,4.157615653466801,0.17649642514569364,0.04245135670453887,"C1
Artificial
original"
artificial-corr-12-original,hnswlib-hnsw,<remote_artifact>,5,4.051839056351238,0.1698520627692232,0.04191974567770182,"C1
Artificial
original"
artificial-corr-12-original,milvus-gpu-cagra,<remote_artifact>,5,161.23055443624816,3.5359928546303134,0.02193128260951601,"C1
Artificial
original"
artificial-corr-12-original,milvus-gpu-cagra,<remote_artifact>,5,138.33182101953338,55.644868246818056,0.4022564572395865,"C1
Artificial
original"
artificial-corr-12-original,milvus-gpu-cagra,<remote_artifact>,5,163.73490910176406,2.9732858400014615,0.018159144291908534,"C1
Artificial
original"
artificial-corr-12-original,milvus-gpu-ivfpq,<remote_artifact>,5,145.6367487566102,2.2767347289014297,0.01563296865893604,"C1
Artificial
original"
artificial-corr-12-original,milvus-gpu-ivfpq,<remote_artifact>,5,146.17264549702423,1.9895647185908936,0.013611060481431849,"C1
Artificial
original"
artificial-corr-12-original,milvus-gpu-ivfpq,<remote_artifact>,5,151.42011276607923,3.865415752848733,0.02552775640063223,"C1
Artificial
original"
artificial-corr-12-original,milvus-hnsw,<remote_artifact>,5,64.30168098091534,14.17616329498211,0.22046333904069443,"C1
Artificial
original"
artificial-corr-12-original,milvus-hnsw,<remote_artifact>,5,39.16460469743925,1.1299842620157294,0.028852180961489764,"C1
Artificial
original"
artificial-corr-12-original,milvus-hnsw,<remote_artifact>,5,28.665116718183235,0.17708326324104445,0.006177657149699121,"C1
Artificial
original"
artificial-corr-12-original,milvus-ivfpq,<remote_artifact>,3,215.21842000452628,36.67984644656772,0.17043079512337422,"C1
Artificial
original"
artificial-corr-12-original,pgvector-hnsw,<remote_artifact>,3,8.490196210393881,0.2004084178218186,0.0236046862587786,"C1
Artificial
original"
artificial-corr-12-original,qdrant,<remote_artifact>,3,4.056748855176717,0.0490812755617118,0.01209867243792536,"C1
Artificial
original"
artificial-corr-12-original,redis-hnsw,<remote_artifact>,3,3.6976285498787522,0.0388746668326106,0.010513405094161047,"C1
Artificial
original"
artificial-corr-12-original,vearch-hnsw,<remote_artifact>,3,10.724512953863979,0.016828208807724915,0.001569135016211791,"C1
Artificial
original"
artificial-corr-12-original,vearch-ivfpq,<remote_artifact>,3,11.977844555311146,0.01564084789994242,0.0013058149008126046,"C1
Artificial
original"
artificial-corr-12-original,weaviate-hnsw,<remote_artifact>,5,1.121139262352986,0.02333853867223518,0.020816806132766704,"C1
Artificial
original"
artificial-corr-12-original,weaviate-hnsw,<remote_artifact>,5,0.8354725510674932,0.17003671344363516,0.2035216037036492,"C1
Artificial
original"
artificial-corr-12-original,weaviate-hnsw,<remote_artifact>,5,1.0249891308188155,0.11507074643504074,0.11226533333394097,"C1
Artificial
original"
artificial-corr-12-shuffled,elasticsearch-hnsw,<remote_artifact>,3,56.717303593142695,0.5842820569664927,0.010301654344462424,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,faiss-hnsw,<remote_artifact>,5,86.51622017958215,1.450101008562279,0.016761030539155515,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,faiss-hnsw,<remote_artifact>,5,86.95681702759512,1.1157834692002084,0.012831466322486511,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,faiss-hnsw,<remote_artifact>,5,86.5004856008409,4.340833664698884,0.05018276642665097,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,faiss-ivfpq,<remote_artifact>,3,105.8585894152945,0.21257957033850405,0.002008146637062504,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,hnswlib-hnsw,<remote_artifact>,5,80.18500263321309,1.196774010514656,0.014925160207189984,"C2
Artificial
shuffled"
artificial-corr-12-shuffled,hnswlib-hnsw,<remote_artifact>,5,77.32870279813537,2.6680891335416437,0.03450321855917619,"C2
Artificial
shuffled"
