dataset,algorithm,source_file,build_parameters_json,build_time_s,candidate_counter_source,candidates_examined_mean,effective_parameters_json,index_size_mb,index_size_source,index_time_s,insert_time_s,latency_p50_s,latency_p95_s,latency_p99_s,predicate_evaluations_mean,qps,query_count_total,query_count_valid,query_coverage,query_parameters_json,recall,run_count,source_campaign,source_note,source_returncode,source_selection,source_task_status,valid,wasted_to_useful_mean,merged_query_points,pareto_frontier
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":128,""efConstruction"":400,""gamma"":12}",883.302418,acorn_distance_computations,25589.582031,"{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":1600}}",2238.1510066986084,native_serialized_bytes,883.302418,,0.002305017,0.0025611,0.002723165,,430.8,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.9996,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":32,""efConstruction"":100,""gamma"":12}",131.679266,acorn_distance_computations,10471.040039,"{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":1600}}",1332.1349086761475,native_serialized_bytes,131.679266,,0.001940303,0.002076695,0.002090272,,514.2,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.9827,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":32,""efConstruction"":400,""gamma"":12}",377.215374,acorn_distance_computations,10964.173828,"{""build"":{""M"":32,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":1600}}",1332.1349086761475,native_serialized_bytes,377.215374,,0.001007408,0.001126328,0.00117559,,986.2,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.99,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,False
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":64,""efConstruction"":100,""gamma"":12}",237.392942,acorn_distance_computations,16951.5,"{""build"":{""M"":64,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":1600}}",1633.8082332611084,native_serialized_bytes,237.392942,,0.001479365,0.00177398,0.001844777,,663.7,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.9969,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":64,""efConstruction"":400,""gamma"":12}",548.843091,acorn_distance_computations,17270.767578,"{""build"":{""M"":64,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":1600}}",1633.8082332611084,native_serialized_bytes,548.843091,,0.001550115,0.00193828,0.001946725,,632.6,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.998,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":128,""efConstruction"":400}",19329.2,,,"{""build"":{""M"":128,""efConstruction"":400},""query"":{""efSearch"":1600}}",,missing,19329.2,,0.0105479,0.012364,0.0128799,,96.1179,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.999951,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,False
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":32,""efConstruction"":100}",3784.54,,,"{""build"":{""M"":32,""efConstruction"":100},""query"":{""efSearch"":1600}}",,missing,3784.54,,0.00647915,0.00750027,0.00786175,,156.879,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.997551,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":32,""efConstruction"":400}",11682.9,,,"{""build"":{""M"":32,""efConstruction"":400},""query"":{""efSearch"":1600}}",,missing,11682.9,,0.00561797,0.00635654,0.00666248,,180.914,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.999418,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,False
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":64,""efConstruction"":100}",4335.1,,,"{""build"":{""M"":64,""efConstruction"":100},""query"":{""efSearch"":1600}}",,missing,4335.1,,0.00687843,0.00808059,0.00846621,,147.296,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.999263,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":64,""efConstruction"":400}",13853.8,,,"{""build"":{""M"":64,""efConstruction"":400},""query"":{""efSearch"":1600}}",,missing,13853.8,,0.00735579,0.00844487,0.00882745,,138.065,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.999792,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,False
