dataset,algorithm,source_file,build_parameters_json,build_time_s,candidate_counter_source,candidates_examined_mean,effective_parameters_json,index_size_mb,index_size_source,index_time_s,insert_time_s,latency_p50_s,latency_p95_s,latency_p99_s,predicate_evaluations_mean,qps,query_count_total,query_count_valid,query_coverage,query_parameters_json,recall,run_count,source_campaign,source_note,source_returncode,source_selection,source_task_status,valid,wasted_to_useful_mean,merged_query_points,pareto_frontier
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":128,""efConstruction"":400,""gamma"":12}",883.302418,acorn_distance_computations,25589.582031,"{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":1600}}",2238.1510066986084,native_serialized_bytes,883.302418,,0.002305017,0.0025611,0.002723165,,430.8,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.9996,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":32,""efConstruction"":100,""gamma"":12}",131.679266,acorn_distance_computations,10471.040039,"{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":1600}}",1332.1349086761475,native_serialized_bytes,131.679266,,0.001940303,0.002076695,0.002090272,,514.2,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.9827,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":64,""efConstruction"":100,""gamma"":12}",237.392942,acorn_distance_computations,16951.5,"{""build"":{""M"":64,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":1600}}",1633.8082332611084,native_serialized_bytes,237.392942,,0.001479365,0.00177398,0.001844777,,663.7,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.9969,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,acorn,<remote_artifact>,"{""M"":64,""efConstruction"":400,""gamma"":12}",548.843091,acorn_distance_computations,17270.767578,"{""build"":{""M"":64,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":1600}}",1633.8082332611084,native_serialized_bytes,548.843091,,0.001550115,0.00193828,0.001946725,,632.6,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.998,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":32,""efConstruction"":100}",3784.54,,,"{""build"":{""M"":32,""efConstruction"":100},""query"":{""efSearch"":1600}}",,missing,3784.54,,0.00647915,0.00750027,0.00786175,,156.879,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.997551,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,digra,<remote_artifact>,"{""M"":64,""efConstruction"":100}",4335.1,,,"{""build"":{""M"":64,""efConstruction"":100},""query"":{""efSearch"":1600}}",,missing,4335.1,,0.00687843,0.00808059,0.00846621,,147.296,10000.0,10000.0,1.0,"{""efSearch"":1600}",0.999263,1.0,main_20260813,completion marker already exists,,unique,complete,1.0,,5,True
artificial-corr-12-original,elasticsearch-hnsw,,"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",559.880095243454,,,"{""build"":[""euclidean"",256,{""M"":32,""efConstruction"":100}],""query"":[1600]}",2.12109375,index_size_raw_kb,14.059678792953491,545.8204164505005,0.5967130661010742,1.0743878722190854,1.3761840176582347,,43.97370883184518,10000.0,10000.0,1.0,[1600],0.999966,1.0,main_hdf5_20260813,,,"highest completion status, then repair priority",complete,1.0,,5,True
artificial-corr-12-original,faiss-hnsw,,"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",47.735048055648804,adaptive_postfilter_proxy,44599.1049,"{""build"":[""euclidean"",256,{""M"":32,""efConstruction"":100}],""query"":[1600]}",1224.9589862823486,index_file_bytes,38.692644357681274,9.04240369796753,2.9843926429748535,29.750274157524103,35.428333148956305,82.3544,3.4557816890988597,10000.0,10000.0,1.0,[1600],0.6537890000000001,1.0,main_hdf5_20260813,,,"highest completion status, then repair priority",complete,1.0,541.5509663114539,5,True
artificial-corr-12-original,faiss-hnsw,,"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",73.18725657463074,adaptive_postfilter_proxy,51042.7136,"{""build"":[""euclidean"",256,{""M"":64,""efConstruction"":100}],""query"":[1600]}",1466.8393459320068,index_file_bytes,64.14212846755981,9.045128107070923,2.9629945755004883,38.14863255023956,47.423116002082836,87.6645,3.158127432441972,10000.0,10000.0,1.0,[1600],0.741765,1.0,main_hdf5_20260813,,,"highest completion status, then repair priority",complete,1.0,582.2506670316947,5,True
artificial-corr-12-original,hnswlib-hnsw,,"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",45.956775426864624,adaptive_postfilter_proxy,34632.8184,"{""build"":[""euclidean"",256,{""M"":32,""efConstruction"":100}],""query"":[1600]}",1228.9231910705566,index_file_bytes,36.912477254867554,9.04429817199707,1.8417624235153198,15.56067363023757,24.5471017241478,100.0,4.646664361661199,10000.0,10000.0,1.0,[1600],0.9804,1.0,main_hdf5_20260813,,,"highest completion status, then repair priority",complete,1.0,346.32818399999996,5,True
