"workload_id","dataset","algorithm","parameter_group","record_count","build_time_s","build_time_min_s","build_time_max_s","data_load_s","insert_time_s","index_time_s","index_size","data_size","memory","memory_unit","status","source","source_path","notes"
"S1","msong-1filter-80a","FAISS-hnsw","M=64;efC=300","1","150.869","150.869","150.869",,"","","2.14064","","3.78925","GB peak RSS","build_time_index_memory","153:<remote_artifact>","<local_workspace>\work\external_logs\153\faiss_hnsw.log","existing extracted parameter table"
"S1","msong-1filter-80a","FAISS-ivfpq","nlist=4096;m=20","1","846.652","846.652","846.652",,"","","0.12719","","2.4366","GB peak RSS","build_time_index_memory","153:<remote_artifact>","<local_workspace>\work\external_logs\153\faiss_ivfpq_dynamic.log","existing extracted parameter table"
"S1","msong-1filter-80a","HNSWlib","k=200;ratios=1.5,2.0;M=256;efC=300;threads=112","1","89.8635","89.8635","89.8635",,"","","","","5618110","KB RSS after build","build_time_and_rss","153:<remote_artifact>","<local_workspace>\work\external_logs\153\bvbj.log","existing extracted parameter table"
"S1","msong-1filter-80a","elasticsearch-hnsw","Elasticsearch HNSW metric:euclidean, nlinks:32, efConstruction:100","5","767.375","767.375","767.375",,"767.375","0.0000498295","0","33888","","","build_complete_index_size_nonpositive | recall_mean_and_qps_from_arrays","<remote_server>:/home/xyzhang/vldbj-resultss1-s4","/home/xyzhang/vldbj-resultss1-s4/msong-1filter-80a/100/elasticsearch-hnsw/euclidean_420_M_48_efConstruction_100_ef_runtime_100_150.hdf5 | /home/xyzhang/vldbj-resultss1-s4/msong-1filter-80a/100/elasticsearch-hnsw/euclidean_420_M_48_efConstruction_100_ef_runtime_100_200.hdf5 | /home/xyzhang/vldbj-resultss1-s4/msong-1filter-80a/100/elasticsearch-hnsw/euclidean_420_M_48_efConstruction_100_ef_runtime_100_500.hdf5","existing extracted parameter table"
"S1","msong-1filter-80a","iRangeGraph","M=256;topk=10","1","2535.65","2535.65","2535.65",,"","","","","","","build_time_only","153:<remote_artifact>","<remote_artifact>","existing extracted parameter table"
"S1","msong-1filter-80a","milvus-gpu-cagra","MilvusGPU_CAGRA metric:euclidean, index_intermediate_graph_degree:128, index_graph_degree:64, build_algo:IVF_PQ, itopk_size:256, search_width:16, min_iterations:0, max_iterations:0, team_size:0","1","198.418","198.418","198.418",,"65.4411","132.977","0","0","","","build_complete_index_size_nonpositive | recall_mean_and_qps_from_arrays","<remote_server>:<remote_artifact>","<remote_artifact>","existing extracted parameter table"
"S1","msong-1filter-80a","milvus-gpu-cagra","MilvusGPU_CAGRA metric:euclidean, index_intermediate_graph_degree:128, index_graph_degree:64, build_algo:IVF_PQ, itopk_size:256, search_width:2, min_iterations:0, max_iterations:0, team_size:0","1","198.418","198.418","198.418",,"65.4411","132.977","0","0","","","build_complete_index_size_nonpositive | recall_mean_and_qps_from_arrays","<remote_server>:<remote_artifact>","<remote_artifact>","existing extracted parameter table"
"S1","msong-1filter-80a","milvus-gpu-cagra","MilvusGPU_CAGRA metric:euclidean, index_intermediate_graph_degree:128, index_graph_degree:64, build_algo:IVF_PQ, itopk_size:256, search_width:32, min_iterations:0, max_iterations:0, team_size:0","1","198.418","198.418","198.418",,"65.4411","132.977","0","0","","","build_complete_index_size_nonpositive | recall_mean_and_qps_from_arrays","<remote_server>:<remote_artifact>","<remote_artifact>","existing extracted parameter table"
"S1","msong-1filter-80a","milvus-gpu-cagra","MilvusGPU_CAGRA metric:euclidean, index_intermediate_graph_degree:128, index_graph_degree:64, build_algo:IVF_PQ, itopk_size:256, search_width:4, min_iterations:0, max_iterations:0, team_size:0","1","198.418","198.418","198.418",,"65.4411","132.977","0","0","","","build_complete_index_size_nonpositive | recall_mean_and_qps_from_arrays","<remote_server>:<remote_artifact>","<remote_artifact>","existing extracted parameter table"
"S1","msong-1filter-80a","milvus-gpu-cagra","MilvusGPU_CAGRA metric:euclidean, index_intermediate_graph_degree:128, index_graph_degree:64, build_algo:IVF_PQ, itopk_size:256, search_width:8, min_iterations:0, max_iterations:0, team_size:0","1","198.418","198.418","198.418",,"65.4411","132.977","0","0","","","build_complete_index_size_nonpositive | recall_mean_and_qps_from_arrays","<remote_server>:<remote_artifact>","<remote_artifact>","existing extracted parameter table"
