workload_id,dataset,algorithm,status,parameter_group_count,build_group_count,search_group_count,build_time_min_s,build_time_max_s,sources,notes
W1,ag_news,RangePQ,complete_build_search,23,23,23,105.986678,141.151114,186:<remote_artifact>,at least one group has explicit build time and search metrics
W1,ag_news,DiGRA,complete_build_search,1,1,1,1191.62,1191.62,186:<remote_artifact>,at least one group has explicit build time and search metrics
W1,ag_news,ACORN,search_or_params_no_build_time,2,0,2,,,151:<remote_artifact> | 151:<remote_artifact>,"search/quality exists, but no explicit build time in selected source"
W1,ag_news,iRangeGraph,complete_build_search,3,3,2,207.586,1626.39,153:<remote_artifact> | 153:<remote_artifact> | 153:<remote_artifact>,at least one group has explicit build time and search metrics
W1,ag_news,HNSWlib,complete_build_search,4,4,4,19.3477,201.361,151:<remote_artifact> | 151:<remote_artifact>,at least one group has explicit build time and search metrics
W1,ag_news,FAISS-hnsw,complete_build_search,1,1,1,46.655,46.655,151:<remote_artifact>,at least one group has explicit build time and search metrics
W1,ag_news,FAISS-ivfpq,complete_build_search,1,1,1,289.258,289.258,151:<remote_artifact>,at least one group has explicit build time and search metrics
W1,ag_news,milvus-hnsw,complete_build_search,144,144,144,35.0166,86.4492,local:数据&画图\w5-w10数据\16c64g.csv | local CSV: bvb数据/16c64g.csv,at least one group has explicit build time and search metrics
W1,ag_news,milvus-ivfpq,missing,0,0,0,,,,no matching group in current extracted sources
W1,ag_news,milvus-gpu-ivfpq,missing,0,0,0,,,,no matching group in current extracted sources
W1,ag_news,milvus-gpu-cagra,complete_build_search,105,105,105,38.9989,58.3453,local:数据&画图\w5-w10数据\16c64g.csv | local CSV: bvb数据/16c64g.csv,at least one group has explicit build time and search metrics
W1,ag_news,weaviate-hnsw,complete_build_search,288,288,288,23.87325143814087,88.3627,local:数据&画图\w5-w10数据\16c64g.csv | local CSV: bvb数据/16c64g.csv,at least one group has explicit build time and search metrics
W1,ag_news,qdrant,complete_build_search,580,580,580,41.543455362319946,89.8735,local:数据&画图\w5-w10数据\16c64g.csv | <remote_server>:<remote_artifact> | local:数据&画图\w5-w10数据\16c64g.csv | local CSV: bvb数据/186.csv | local CSV: bvb数据/16c64g.csv,at least one group has explicit build time and search metrics
W1,ag_news,vearch-ivfpq,complete_build_search,72,72,72,80.95266580581665,97.02403426170349,<remote_server>:<remote_artifact> | local CSV: bvb数据/186.csv,at least one group has explicit build time and search metrics
W1,ag_news,vearch-hnsw,complete_build_search,128,128,128,84.33925414085388,98.6318,<remote_server>:<remote_artifact> | local CSV: bvb数据/186.csv,at least one group has explicit build time and search metrics
