dataset_base,algorithm,recall_threshold,original_qps,shuffled_qps,original_over_shuffled_qps,percent_change_original_vs_shuffled,original_selected_recall,shuffled_selected_recall
artificial-corr-12,acorn,0.8,5531.2,10336.8,0.5350979026391146,-46.49020973608854,0.8313,0.8844
artificial-corr-12,acorn,0.9,3285.5,6108.7,0.5378394748473488,-46.21605251526512,0.9269,0.9413
artificial-corr-12,acorn,0.95,1917.9,6057.6,0.3166105388272583,-68.33894611727416,0.9718,0.9607
artificial-corr-12,acorn,0.99,1143.6,3433.9,0.3330324121261539,-66.69675878738461,0.9912,0.9902
artificial-corr-12,digra,0.8,1957.86,2025.5,0.9666057763515181,-3.339422364848188,0.867448,0.959819
artificial-corr-12,digra,0.9,1500.1,2025.5,0.740607257467292,-25.939274253270806,0.901448,0.959819
artificial-corr-12,digra,0.95,904.995,2025.5,0.44680078992841277,-55.319921007158726,0.960238,0.959819
artificial-corr-12,digra,0.99,437.85,956.032,0.4579867619493908,-54.201323805060916,0.992654,0.991045
artificial-corr-12,elasticsearch-hnsw,0.8,45.01750296073066,45.94932246815233,0.9797207127903241,-2.0279287209675867,0.9999640000000001,0.991087
artificial-corr-12,elasticsearch-hnsw,0.9,45.01750296073066,45.94932246815233,0.9797207127903241,-2.0279287209675867,0.9999640000000001,0.991087
artificial-corr-12,elasticsearch-hnsw,0.95,45.01750296073066,45.94932246815233,0.9797207127903241,-2.0279287209675867,0.9999640000000001,0.991087
artificial-corr-12,elasticsearch-hnsw,0.99,45.01750296073066,45.94932246815233,0.9797207127903241,-2.0279287209675867,0.9999640000000001,0.991087
artificial-corr-12,faiss-hnsw,0.8,,67.03330835500897,,,,0.9721300000000002
artificial-corr-12,faiss-hnsw,0.9,,67.03330835500897,,,,0.9721300000000002
artificial-corr-12,faiss-hnsw,0.95,,67.03330835500897,,,,0.9721300000000002
artificial-corr-12,faiss-hnsw,0.99,,66.35479911655369,,,,0.9913510000000002
artificial-corr-12,hnswlib-hnsw,0.8,5.194964082344715,68.12956110116578,0.07625124833302094,-92.3748751666979,0.993635,0.995431
artificial-corr-12,hnswlib-hnsw,0.9,5.194964082344715,68.12956110116578,0.07625124833302094,-92.3748751666979,0.993635,0.995431
artificial-corr-12,hnswlib-hnsw,0.95,5.194964082344715,68.12956110116578,0.07625124833302094,-92.3748751666979,0.993635,0.995431
artificial-corr-12,hnswlib-hnsw,0.99,5.194964082344715,68.12956110116578,0.07625124833302094,-92.3748751666979,0.993635,0.995431
artificial-corr-12,irangegraph,0.8,2620.82,2392.35,1.0955002403494474,9.550024034944737,0.840549,0.955432
artificial-corr-12,irangegraph,0.9,1825.76,2392.35,0.7631659247183732,-23.683407528162682,0.901136,0.955432
artificial-corr-12,irangegraph,0.95,1006.72,2392.35,0.4208079921416181,-57.919200785838186,0.965851,0.955432
artificial-corr-12,irangegraph,0.99,539.276,1197.37,0.4503837577357041,-54.961624226429585,0.991192,0.990242
artificial-corr-12,milvus-gpu-cagra,0.8,,199.45614634954762,,,,0.9155869999999999
artificial-corr-12,milvus-gpu-cagra,0.9,,199.45614634954762,,,,0.9155869999999999
artificial-corr-12,milvus-gpu-cagra,0.95,,192.46183976927463,,,,0.9857900000000002
artificial-corr-12,milvus-gpu-cagra,0.99,,172.3359985290608,,,,0.998698
artificial-corr-12,milvus-gpu-ivfpq,0.8,,,,,,
artificial-corr-12,milvus-gpu-ivfpq,0.9,,,,,,
artificial-corr-12,milvus-gpu-ivfpq,0.95,,,,,,
artificial-corr-12,milvus-gpu-ivfpq,0.99,,,,,,
artificial-corr-12,milvus-hnsw,0.8,105.80334887261169,173.23360377418246,0.6107553417322598,-38.924465826774025,0.978382,0.9932990000000002
artificial-corr-12,milvus-hnsw,0.9,105.80334887261169,173.23360377418246,0.6107553417322598,-38.924465826774025,0.978382,0.9932990000000002
artificial-corr-12,milvus-hnsw,0.95,105.80334887261169,173.23360377418246,0.6107553417322598,-38.924465826774025,0.978382,0.9932990000000002
artificial-corr-12,milvus-hnsw,0.99,87.8110403811172,173.23360377418246,0.5068938039041357,-49.310619609586425,0.993326,0.9932990000000002
artificial-corr-12,milvus-ivfpq,0.8,,,,,,
artificial-corr-12,milvus-ivfpq,0.9,,,,,,
artificial-corr-12,milvus-ivfpq,0.95,,,,,,
artificial-corr-12,milvus-ivfpq,0.99,,,,,,
artificial-corr-12,qdrant,0.8,4.726478775424408,4.797733289869796,0.9851482960514212,-1.485170394857882,0.9999959999999999,0.999992
artificial-corr-12,qdrant,0.9,4.726478775424408,4.797733289869796,0.9851482960514212,-1.485170394857882,0.9999959999999999,0.999992
artificial-corr-12,qdrant,0.95,4.726478775424408,4.797733289869796,0.9851482960514212,-1.485170394857882,0.9999959999999999,0.999992
artificial-corr-12,qdrant,0.99,4.726478775424408,4.797733289869796,0.9851482960514212,-1.485170394857882,0.9999959999999999,0.999992
artificial-corr-12,rangepq,0.8,52.82560155305785,51.06981971300564,1.0343800281637783,3.4380028163778276,0.980402999999949,0.9984309999999835
artificial-corr-12,rangepq,0.9,52.82560155305785,51.06981971300564,1.0343800281637783,3.4380028163778276,0.980402999999949,0.9984309999999835
artificial-corr-12,rangepq,0.95,52.82560155305785,51.06981971300564,1.0343800281637783,3.4380028163778276,0.980402999999949,0.9984309999999835
artificial-corr-12,rangepq,0.99,,51.06981971300564,,,,0.9984309999999835
artificial-corr-12,redis-hnsw,0.8,3.909006957527149,3.846637148875974,1.016214112804843,1.6214112804842973,0.9999969999999999,0.999991
artificial-corr-12,redis-hnsw,0.9,3.909006957527149,3.846637148875974,1.016214112804843,1.6214112804842973,0.9999969999999999,0.999991
artificial-corr-12,redis-hnsw,0.95,3.909006957527149,3.846637148875974,1.016214112804843,1.6214112804842973,0.9999969999999999,0.999991
artificial-corr-12,redis-hnsw,0.99,3.909006957527149,3.846637148875974,1.016214112804843,1.6214112804842973,0.9999969999999999,0.999991
artificial-corr-12,vearch-hnsw,0.8,,12.023261885838,,,,0.824212
artificial-corr-12,vearch-hnsw,0.9,,11.809607844842956,,,,0.9181960000000001
artificial-corr-12,vearch-hnsw,0.95,,11.73917309175702,,,,0.963799
artificial-corr-12,vearch-hnsw,0.99,,,,,,
artificial-corr-12,vearch-ivfpq,0.8,,,,,,
artificial-corr-12,vearch-ivfpq,0.9,,,,,,
artificial-corr-12,vearch-ivfpq,0.95,,,,,,
artificial-corr-12,vearch-ivfpq,0.99,,,,,,
cc_news,acorn,0.8,8327.6,7236.1,1.1508409225964262,15.084092259642624,0.8449,0.8138
cc_news,acorn,0.9,4845.7,3588.1,1.3504919037930938,35.04919037930938,0.901,0.9308
cc_news,acorn,0.95,2438.6,1987.7,1.2268450973486944,22.68450973486944,0.9589,0.9535
cc_news,acorn,0.99,,,,,,
cc_news,digra,0.8,1815.74,1437.64,1.2630004729974122,26.300047299741223,0.976868,0.983949
cc_news,digra,0.9,1815.74,1437.64,1.2630004729974122,26.300047299741223,0.976868,0.983949
cc_news,digra,0.95,1815.74,1437.64,1.2630004729974122,26.300047299741223,0.976868,0.983949
cc_news,digra,0.99,1080.14,1025.19,1.0535998205210741,5.359982052107415,0.990263,0.992822
cc_news,elasticsearch-hnsw,0.8,36.90581785971187,37.31031269416291,0.9891586318837171,-1.084136811628289,0.9866436090225564,0.9972190476190477
cc_news,elasticsearch-hnsw,0.9,36.90581785971187,37.31031269416291,0.9891586318837171,-1.084136811628289,0.9866436090225564,0.9972190476190477
cc_news,elasticsearch-hnsw,0.95,36.90581785971187,37.31031269416291,0.9891586318837171,-1.084136811628289,0.9866436090225564,0.9972190476190477
cc_news,elasticsearch-hnsw,0.99,36.66424894533383,37.31031269416291,0.9826840435746294,-1.7315956425370649,0.9901754385964913,0.9972190476190477
cc_news,faiss-hnsw,0.8,8.120361784704706,6.551902862650561,1.239389831463348,23.938983146334802,0.8166275689223058,0.8144511278195489
cc_news,faiss-hnsw,0.9,,,,,,
cc_news,faiss-hnsw,0.95,,,,,,
cc_news,faiss-hnsw,0.99,,,,,,
cc_news,hnswlib-hnsw,0.8,3.2581032488714223,3.017341616863061,1.0797926329132947,7.979263291329475,0.9793192982456139,0.982396992481203
cc_news,hnswlib-hnsw,0.9,3.2581032488714223,3.017341616863061,1.0797926329132947,7.979263291329475,0.9793192982456139,0.982396992481203
cc_news,hnswlib-hnsw,0.95,3.2581032488714223,3.017341616863061,1.0797926329132947,7.979263291329475,0.9793192982456139,0.982396992481203
cc_news,hnswlib-hnsw,0.99,,,,,,
cc_news,irangegraph,0.8,3031.28,2619.81,1.1570610082410557,15.706100824105572,0.97292,0.968181
cc_news,irangegraph,0.9,3031.28,2619.81,1.1570610082410557,15.706100824105572,0.97292,0.968181
cc_news,irangegraph,0.95,3031.28,2619.81,1.1570610082410557,15.706100824105572,0.97292,0.968181
cc_news,irangegraph,0.99,1667.45,1542.86,1.0807526282358737,8.07526282358737,0.992487,0.992547
cc_news,milvus-gpu-cagra,0.8,215.84365657372715,,,,0.8004441102756893,
cc_news,milvus-gpu-cagra,0.9,,,,,,
cc_news,milvus-gpu-cagra,0.95,,,,,,
cc_news,milvus-gpu-cagra,0.99,,,,,,
cc_news,milvus-gpu-ivfpq,0.8,,,,,,
cc_news,milvus-gpu-ivfpq,0.9,,,,,,
cc_news,milvus-gpu-ivfpq,0.95,,,,,,
cc_news,milvus-gpu-ivfpq,0.99,,,,,,
