dataset,algorithm,point_count,valid_point_count,expected_point_count,grid_coverage,grid_status,pareto_point_count,recall_min,recall_max,qps_min,qps_max,qps_at_r80,recall_selected_r80,query_parameters_r80,build_parameters_r80,wasted_to_useful_r80,candidates_examined_r80,qps_at_r90,recall_selected_r90,query_parameters_r90,build_parameters_r90,wasted_to_useful_r90,candidates_examined_r90,qps_at_r95,recall_selected_r95,query_parameters_r95,build_parameters_r95,wasted_to_useful_r95,candidates_examined_r95,qps_at_r99,recall_selected_r99,query_parameters_r99,build_parameters_r99,wasted_to_useful_r99,candidates_examined_r99
artificial-corr-12-original,acorn,25,25,25,1.0,complete,12,0.7321,0.9996,430.8,9362.3,5531.2,0.8313,"{""efSearch"":100}","{""M"":64,""efConstruction"":100,""gamma"":12}",,16951.5,3285.5,0.9269,"{""efSearch"":400}","{""M"":32,""efConstruction"":400,""gamma"":12}",,10964.173828,1917.9,0.9718,"{""efSearch"":200}","{""M"":128,""efConstruction"":400,""gamma"":12}",,25589.582031,1143.6,0.9912,"{""efSearch"":400}","{""M"":128,""efConstruction"":400,""gamma"":12}",,25589.582031
artificial-corr-12-original,digra,25,25,25,1.0,complete,17,0.846704,0.999951,96.1179,1957.86,1957.86,0.867448,"{""efSearch"":100}","{""M"":32,""efConstruction"":400}",,,1500.1,0.901448,"{""efSearch"":100}","{""M"":64,""efConstruction"":100}",,,904.995,0.960238,"{""efSearch"":100}","{""M"":128,""efConstruction"":400}",,,437.85,0.992654,"{""efSearch"":400}","{""M"":64,""efConstruction"":400}",,
artificial-corr-12-original,elasticsearch-hnsw,5,5,25,0.2,partial,1,0.9891559999999999,0.9999640000000001,44.624632929251256,45.01750296073066,45.01750296073066,0.9999640000000001,[1600],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,,45.01750296073066,0.9999640000000001,[1600],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,,45.01750296073066,0.9999640000000001,[1600],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,,45.01750296073066,0.9999640000000001,[1600],"[""euclidean"",256,{""M"":32,""efConstruction"":100}]",,
artificial-corr-12-original,faiss-hnsw,25,25,25,1.0,complete,12,0.31858099999999995,0.741765,3.158127432441972,5.263989281765156,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-original,hnswlib-hnsw,25,25,25,1.0,complete,5,0.969374,0.996835,4.290724209778878,5.194964082344715,5.194964082344715,0.993635,[100],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",140.188877,34375.3777,5.194964082344715,0.993635,[100],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",140.188877,34375.3777,5.194964082344715,0.993635,[100],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",140.188877,34375.3777,5.194964082344715,0.993635,[100],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",140.188877,34375.3777
artificial-corr-12-original,irangegraph,25,25,25,1.0,complete,20,0.840549,0.999822,152.718,2620.82,2620.82,0.840549,"{""efSearch"":100}","{""M"":32,""efConstruction"":100}",,,1825.76,0.901136,"{""efSearch"":100}","{""M"":64,""efConstruction"":400}",,,1006.72,0.965851,"{""efSearch"":200}","{""M"":64,""efConstruction"":400}",,,539.276,0.991192,"{""efSearch"":400}","{""M"":64,""efConstruction"":400}",,
artificial-corr-12-original,milvus-gpu-cagra,30,30,30,1.0,complete,9,0.363349,0.667651,38.28515357297315,229.8285724561271,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-original,milvus-gpu-ivfpq,36,36,36,1.0,complete,12,0.174673,0.403433,182.77138327493728,213.83113856878418,,,,,,,,,,,,,,,,,,,,,,,,
artificial-corr-12-original,milvus-hnsw,25,25,25,1.0,complete,7,0.9359430000000001,0.999499,21.995298399603527,105.80334887261169,105.80334887261169,0.978382,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,,105.80334887261169,0.978382,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,,105.80334887261169,0.978382,[100],"[""euclidean"",256,{""M"":64,""efConstruction"":100}]",,,87.8110403811172,0.993326,[100],"[""euclidean"",256,{""M"":128,""efConstruction"":400}]",,
artificial-corr-12-original,milvus-ivfpq,36,36,36,1.0,complete,8,0.177435,0.402221,60.043611805426536,258.20913450813924,,,,,,,,,,,,,,,,,,,,,,,,
