dataset,algorithm,job_dataset,job_algorithm,relative_path,schema_version,valid,recall,qps,latency_p50_s,latency_p95_s,latency_p99_s,query_count_valid,query_count_total,query_coverage,build_time_s,insert_time_s,index_time_s,index_size_mb,index_size_source,build_parameters_json,query_parameters_json,effective_parameters_json,wasted_to_useful_mean,candidates_examined_mean,predicate_evaluations_mean,candidate_counter_source
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M128_EFC400/run.log,4,True,0.9271,3103.6,0.00031064,0.000384312,0.000468522,10000,10000,1.0,883.302418,,883.302418,2238.1510066986084,native_serialized_bytes,"{""M"":128,""efConstruction"":400,""gamma"":12}","{""efSearch"":100}","{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":100}}",,25589.582031,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M128_EFC400/run.log,4,True,0.9718,1917.9,0.00051579,0.000595657,0.000615032,10000,10000,1.0,883.302418,,883.302418,2238.1510066986084,native_serialized_bytes,"{""M"":128,""efConstruction"":400,""gamma"":12}","{""efSearch"":200}","{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":200}}",,25589.582031,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M128_EFC400/run.log,4,True,0.9912,1143.6,0.000859867,0.00097449,0.001030217,10000,10000,1.0,883.302418,,883.302418,2238.1510066986084,native_serialized_bytes,"{""M"":128,""efConstruction"":400,""gamma"":12}","{""efSearch"":400}","{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":400}}",,25589.582031,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M128_EFC400/run.log,4,True,0.9979,742.0,0.0013436,0.001458845,0.00154121,10000,10000,1.0,883.302418,,883.302418,2238.1510066986084,native_serialized_bytes,"{""M"":128,""efConstruction"":400,""gamma"":12}","{""efSearch"":800}","{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":800}}",,25589.582031,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M128_EFC400/run.log,4,True,0.9996,430.8,0.002305017,0.0025611,0.002723165,10000,10000,1.0,883.302418,,883.302418,2238.1510066986084,native_serialized_bytes,"{""M"":128,""efConstruction"":400,""gamma"":12}","{""efSearch"":1600}","{""build"":{""M"":128,""efConstruction"":400,""gamma"":12},""query"":{""efSearch"":1600}}",,25589.582031,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M32_EFC100/run.log,4,True,0.7321,6530.4,0.000171043,0.000191025,0.00025088,10000,10000,1.0,131.679266,,131.679266,1332.1349086761475,native_serialized_bytes,"{""M"":32,""efConstruction"":100,""gamma"":12}","{""efSearch"":100}","{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":100}}",,10471.040039,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M32_EFC100/run.log,4,True,0.8305,3047.7,0.00032585,0.000347313,0.00035616,10000,10000,1.0,131.679266,,131.679266,1332.1349086761475,native_serialized_bytes,"{""M"":32,""efConstruction"":100,""gamma"":12}","{""efSearch"":200}","{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":200}}",,10471.040039,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M32_EFC100/run.log,4,True,0.9062,1683.9,0.000591805,0.0006326,0.00065244,10000,10000,1.0,131.679266,,131.679266,1332.1349086761475,native_serialized_bytes,"{""M"":32,""efConstruction"":100,""gamma"":12}","{""efSearch"":400}","{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":400}}",,10471.040039,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M32_EFC100/run.log,4,True,0.9567,947.6,0.001045188,0.001099435,0.001149215,10000,10000,1.0,131.679266,,131.679266,1332.1349086761475,native_serialized_bytes,"{""M"":32,""efConstruction"":100,""gamma"":12}","{""efSearch"":800}","{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":800}}",,10471.040039,,acorn_distance_computations
artificial-corr-12-original,acorn,artificial-corr-12-original,acorn,jobs/artificial-corr-12-original/acorn/configs/M32_EFC100/run.log,4,True,0.9827,514.2,0.001940303,0.002076695,0.002090272,10000,10000,1.0,131.679266,,131.679266,1332.1349086761475,native_serialized_bytes,"{""M"":32,""efConstruction"":100,""gamma"":12}","{""efSearch"":1600}","{""build"":{""M"":32,""efConstruction"":100,""gamma"":12},""query"":{""efSearch"":1600}}",,10471.040039,,acorn_distance_computations
