id,insert_latency,update_latency,delete_latency
0,1.4781951904296875e-05,2.384185791015625e-06,8.344650268554688e-06
1,1.9073486328125e-06,1.6689300537109375e-06,4.76837158203125e-07
2,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
3,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
4,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
5,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
6,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
7,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
8,9.5367431640625e-07,9.5367431640625e-07,0.0
9,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
10,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
11,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
12,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
13,7.152557373046875e-07,9.5367431640625e-07,0.0
14,9.5367431640625e-07,1.430511474609375e-06,0.0
15,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
16,1.1920928955078125e-06,9.5367431640625e-07,0.0
17,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
18,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
19,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
20,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
21,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
22,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
23,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
24,9.5367431640625e-07,9.5367431640625e-07,0.0
25,9.5367431640625e-07,1.430511474609375e-06,0.0
26,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
27,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
28,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
29,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
30,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
31,1.1920928955078125e-06,9.5367431640625e-07,0.0
32,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
33,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
34,9.5367431640625e-07,9.5367431640625e-07,0.0
35,9.5367431640625e-07,1.1920928955078125e-06,0.0
36,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
37,7.152557373046875e-07,1.1920928955078125e-06,2.384185791015625e-07
38,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
39,9.5367431640625e-07,1.1920928955078125e-06,0.0
40,1.1920928955078125e-06,1.430511474609375e-06,0.0
41,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
