id,insert_latency,update_latency,delete_latency
0,1.4543533325195312e-05,4.5299530029296875e-06,5.9604644775390625e-06
1,1.6689300537109375e-06,1.6689300537109375e-06,7.152557373046875e-07
2,9.5367431640625e-07,9.5367431640625e-07,0.0
3,9.5367431640625e-07,1.1920928955078125e-06,0.0
4,1.1920928955078125e-06,9.5367431640625e-07,0.0
5,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
6,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
7,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
8,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
9,9.5367431640625e-07,9.5367431640625e-07,0.0
10,1.1920928955078125e-06,1.1920928955078125e-06,0.0
11,9.5367431640625e-07,1.1920928955078125e-06,0.0
12,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
13,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
14,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
15,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
16,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
17,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
18,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
19,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
20,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
21,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
22,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
23,9.5367431640625e-07,1.1920928955078125e-06,0.0
24,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
25,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
26,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
27,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
28,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
29,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
30,1.1920928955078125e-06,1.1920928955078125e-06,0.0
31,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
32,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
33,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
34,9.5367431640625e-07,1.1920928955078125e-06,0.0
35,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
36,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
37,1.1920928955078125e-06,1.1920928955078125e-06,0.0
38,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
39,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
40,9.5367431640625e-07,9.5367431640625e-07,0.0
41,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
42,9.5367431640625e-07,1.1920928955078125e-06,0.0
43,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
44,1.1920928955078125e-06,1.430511474609375e-06,0.0
45,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
46,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
47,9.5367431640625e-07,9.5367431640625e-07,0.0
48,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
49,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
