id,insert_latency,update_latency,delete_latency
0,1.1682510375976562e-05,2.6226043701171875e-06,2.86102294921875e-06
1,1.9073486328125e-06,1.1920928955078125e-06,2.384185791015625e-07
2,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
3,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
4,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
5,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
6,9.5367431640625e-07,1.1920928955078125e-06,0.0
7,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
8,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
9,9.5367431640625e-07,9.5367431640625e-07,0.0
10,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
11,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
12,1.430511474609375e-06,1.430511474609375e-06,2.384185791015625e-07
13,9.5367431640625e-07,9.5367431640625e-07,4.76837158203125e-07
14,1.1920928955078125e-06,1.1920928955078125e-06,0.0
15,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
16,9.5367431640625e-07,1.1920928955078125e-06,0.0
17,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
18,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
19,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
20,9.5367431640625e-07,1.1920928955078125e-06,0.0
21,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
22,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
23,9.5367431640625e-07,1.430511474609375e-06,0.0
24,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
25,9.5367431640625e-07,1.1920928955078125e-06,0.0
26,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
27,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
28,1.6689300537109375e-06,9.5367431640625e-07,2.384185791015625e-07
29,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
30,1.1920928955078125e-06,1.430511474609375e-06,0.0
31,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
32,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
33,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
34,7.152557373046875e-07,9.5367431640625e-07,0.0
35,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
36,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
37,1.1920928955078125e-06,1.1920928955078125e-06,0.0
38,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
39,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
40,1.1920928955078125e-06,9.5367431640625e-07,0.0
41,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
42,1.1920928955078125e-06,1.1920928955078125e-06,0.0
43,9.5367431640625e-07,1.1920928955078125e-06,0.0
44,7.152557373046875e-07,1.430511474609375e-06,2.384185791015625e-07
45,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
46,9.5367431640625e-07,9.5367431640625e-07,0.0
47,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
48,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
49,1.1920928955078125e-06,1.1920928955078125e-06,0.0
50,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
51,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
52,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
53,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
54,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
55,7.152557373046875e-07,1.1920928955078125e-06,0.0
56,1.1920928955078125e-06,9.5367431640625e-07,4.76837158203125e-07
57,7.152557373046875e-07,1.1920928955078125e-06,2.384185791015625e-07
58,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
59,7.152557373046875e-07,9.5367431640625e-07,2.384185791015625e-07
60,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
61,1.1920928955078125e-06,9.5367431640625e-07,0.0
62,7.152557373046875e-07,1.1920928955078125e-06,2.384185791015625e-07
63,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
64,9.5367431640625e-07,1.430511474609375e-06,0.0
65,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
66,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
67,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
68,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
69,9.5367431640625e-07,9.5367431640625e-07,0.0
70,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
71,1.1920928955078125e-06,1.1920928955078125e-06,0.0
72,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
73,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
74,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
75,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
76,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
77,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
78,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
79,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
80,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
81,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
82,1.1920928955078125e-06,9.5367431640625e-07,4.76837158203125e-07
83,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
84,1.1920928955078125e-06,1.1920928955078125e-06,0.0
85,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
86,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
87,9.5367431640625e-07,9.5367431640625e-07,0.0
88,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
89,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
90,9.5367431640625e-07,1.430511474609375e-06,0.0
91,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
92,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
93,1.1920928955078125e-06,1.1920928955078125e-06,0.0
94,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
95,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
96,9.5367431640625e-07,1.1920928955078125e-06,0.0
97,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
98,9.5367431640625e-07,1.1920928955078125e-06,0.0
99,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
100,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
101,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
102,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
103,9.5367431640625e-07,1.1920928955078125e-06,0.0
104,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
105,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
106,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
107,1.1920928955078125e-06,9.5367431640625e-07,0.0
108,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
109,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
110,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
111,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
112,9.5367431640625e-07,9.5367431640625e-07,0.0
113,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
114,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
115,1.1920928955078125e-06,9.5367431640625e-07,4.76837158203125e-07
116,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
117,1.1920928955078125e-06,1.1920928955078125e-06,0.0
118,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
119,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
120,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
121,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
122,9.5367431640625e-07,9.5367431640625e-07,0.0
123,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
124,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
125,9.5367431640625e-07,1.1920928955078125e-06,0.0
