id,insert_latency,update_latency,delete_latency
0,1.4543533325195312e-05,4.76837158203125e-06,1.9073486328125e-06
1,1.9073486328125e-06,1.6689300537109375e-06,2.384185791015625e-07
2,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
3,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
4,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
5,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
6,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
7,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
8,1.1920928955078125e-06,1.430511474609375e-06,0.0
9,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
10,1.1920928955078125e-06,9.5367431640625e-07,0.0
11,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
12,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
13,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
14,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
15,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
16,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
17,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
18,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
19,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
20,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
21,9.5367431640625e-07,1.430511474609375e-06,4.76837158203125e-07
22,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
23,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
24,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
25,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
26,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
27,9.5367431640625e-07,1.430511474609375e-06,4.76837158203125e-07
28,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
29,9.5367431640625e-07,1.1920928955078125e-06,0.0
30,1.1920928955078125e-06,9.5367431640625e-07,0.0
31,1.1920928955078125e-06,9.5367431640625e-07,0.0
32,9.5367431640625e-07,9.5367431640625e-07,0.0
33,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
34,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
35,1.1920928955078125e-06,1.1920928955078125e-06,0.0
36,1.1920928955078125e-06,9.5367431640625e-07,0.0
37,9.5367431640625e-07,9.5367431640625e-07,0.0
38,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
39,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
40,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
41,9.5367431640625e-07,1.430511474609375e-06,0.0
42,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
43,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
44,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
45,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
46,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
47,1.1920928955078125e-06,1.1920928955078125e-06,0.0
48,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
49,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
50,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
51,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
52,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
53,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
54,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
55,9.5367431640625e-07,1.1920928955078125e-06,0.0
56,1.430511474609375e-06,1.1920928955078125e-06,0.0
57,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
58,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
59,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
60,9.5367431640625e-07,1.430511474609375e-06,0.0
61,9.5367431640625e-07,9.5367431640625e-07,4.76837158203125e-07
62,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
63,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
64,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
65,1.430511474609375e-06,1.1920928955078125e-06,0.0
66,1.1920928955078125e-06,1.1920928955078125e-06,0.0
67,9.5367431640625e-07,1.430511474609375e-06,0.0
68,9.5367431640625e-07,9.5367431640625e-07,0.0
69,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
70,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
71,9.5367431640625e-07,9.5367431640625e-07,0.0
72,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
73,9.5367431640625e-07,1.1920928955078125e-06,0.0
74,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
75,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
76,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
77,9.5367431640625e-07,9.5367431640625e-07,0.0
78,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
79,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
80,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
81,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
82,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
83,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
84,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
85,9.5367431640625e-07,9.5367431640625e-07,0.0
86,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
87,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
88,1.430511474609375e-06,1.1920928955078125e-06,4.76837158203125e-07
89,9.5367431640625e-07,9.5367431640625e-07,0.0
90,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
91,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
