id,insert_latency,update_latency,delete_latency
0,1.239776611328125e-05,4.291534423828125e-06,6.9141387939453125e-06
1,1.9073486328125e-06,1.1920928955078125e-06,2.384185791015625e-07
2,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
3,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
4,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
5,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
6,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
7,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
8,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
9,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
10,9.5367431640625e-07,9.5367431640625e-07,4.76837158203125e-07
11,9.5367431640625e-07,9.5367431640625e-07,0.0
12,9.5367431640625e-07,1.430511474609375e-06,0.0
13,9.5367431640625e-07,1.430511474609375e-06,0.0
14,1.1920928955078125e-06,1.1920928955078125e-06,0.0
15,9.5367431640625e-07,1.1920928955078125e-06,0.0
16,1.1920928955078125e-06,1.1920928955078125e-06,0.0
17,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
18,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
19,9.5367431640625e-07,1.1920928955078125e-06,0.0
20,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
21,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
22,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
23,9.5367431640625e-07,9.5367431640625e-07,0.0
24,9.5367431640625e-07,9.5367431640625e-07,4.76837158203125e-07
25,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
26,9.5367431640625e-07,9.5367431640625e-07,0.0
27,1.1920928955078125e-06,1.1920928955078125e-06,0.0
28,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
29,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
30,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
31,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
32,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
33,1.1920928955078125e-06,9.5367431640625e-07,0.0
34,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
35,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
36,1.1920928955078125e-06,1.1920928955078125e-06,0.0
37,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
38,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
39,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
40,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
41,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
42,9.5367431640625e-07,9.5367431640625e-07,0.0
43,1.430511474609375e-06,9.5367431640625e-07,2.384185791015625e-07
44,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
45,1.1920928955078125e-06,1.1920928955078125e-06,0.0
46,9.5367431640625e-07,9.5367431640625e-07,0.0
47,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
48,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
49,9.5367431640625e-07,1.1920928955078125e-06,0.0
50,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
51,9.5367431640625e-07,1.430511474609375e-06,0.0
52,1.1920928955078125e-06,1.1920928955078125e-06,0.0
53,9.5367431640625e-07,1.1920928955078125e-06,0.0
54,1.1920928955078125e-06,1.1920928955078125e-06,0.0
55,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
56,9.5367431640625e-07,9.5367431640625e-07,0.0
57,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
58,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
59,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
60,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
61,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
62,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
63,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
64,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
65,1.1920928955078125e-06,9.5367431640625e-07,0.0
66,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
67,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
68,1.1920928955078125e-06,9.5367431640625e-07,0.0
69,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
70,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
71,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
72,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
73,9.5367431640625e-07,1.1920928955078125e-06,0.0
74,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
75,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
76,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
77,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
78,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
79,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
80,7.152557373046875e-07,1.1920928955078125e-06,0.0
81,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
82,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
83,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
84,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
85,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
86,1.1920928955078125e-06,1.1920928955078125e-06,0.0
87,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
88,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
89,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
90,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
91,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
92,9.5367431640625e-07,1.1920928955078125e-06,0.0
93,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
94,3.0994415283203125e-06,1.1920928955078125e-06,0.0
95,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
96,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
97,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
98,1.430511474609375e-06,1.1920928955078125e-06,0.0
99,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
100,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
101,9.5367431640625e-07,9.5367431640625e-07,0.0
102,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
103,1.1920928955078125e-06,1.430511474609375e-06,0.0
104,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
105,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
106,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
107,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
108,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
109,9.5367431640625e-07,1.1920928955078125e-06,0.0
110,1.1920928955078125e-06,1.430511474609375e-06,0.0
111,1.1920928955078125e-06,1.1920928955078125e-06,4.76837158203125e-07
112,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
113,1.1920928955078125e-06,1.1920928955078125e-06,0.0
114,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
115,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
116,9.5367431640625e-07,1.430511474609375e-06,0.0
117,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
118,1.430511474609375e-06,1.1920928955078125e-06,2.384185791015625e-07
119,9.5367431640625e-07,9.5367431640625e-07,0.0
120,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
121,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
122,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
123,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
124,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
125,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
126,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
127,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
128,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
