id,insert_latency,update_latency,delete_latency
0,1.33514404296875e-05,1.9073486328125e-06,3.337860107421875e-06
1,1.6689300537109375e-06,1.430511474609375e-06,4.76837158203125e-07
2,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
3,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
4,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
5,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
6,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
7,9.5367431640625e-07,1.1920928955078125e-06,0.0
8,1.1920928955078125e-06,1.430511474609375e-06,0.0
9,7.152557373046875e-07,9.5367431640625e-07,2.384185791015625e-07
10,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
11,9.5367431640625e-07,9.5367431640625e-07,0.0
12,9.5367431640625e-07,9.5367431640625e-07,0.0
13,7.152557373046875e-07,9.5367431640625e-07,2.384185791015625e-07
14,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
15,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
16,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
17,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
18,9.5367431640625e-07,9.5367431640625e-07,0.0
19,9.5367431640625e-07,1.1920928955078125e-06,0.0
20,1.1920928955078125e-06,9.5367431640625e-07,0.0
21,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
22,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
23,7.152557373046875e-07,1.1920928955078125e-06,2.384185791015625e-07
24,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
25,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
26,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
27,9.5367431640625e-07,9.5367431640625e-07,0.0
28,1.1920928955078125e-06,9.5367431640625e-07,0.0
29,7.152557373046875e-07,9.5367431640625e-07,2.384185791015625e-07
30,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
31,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
32,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
33,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
34,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
35,9.5367431640625e-07,1.1920928955078125e-06,0.0
36,9.5367431640625e-07,1.1920928955078125e-06,0.0
37,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
38,1.1920928955078125e-06,1.1920928955078125e-06,0.0
39,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
40,9.5367431640625e-07,1.1920928955078125e-06,0.0
41,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
42,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
43,9.5367431640625e-07,9.5367431640625e-07,0.0
44,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
45,1.1920928955078125e-06,1.1920928955078125e-06,0.0
46,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
47,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
48,7.152557373046875e-07,1.1920928955078125e-06,2.384185791015625e-07
49,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
50,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
51,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
52,1.430511474609375e-06,9.5367431640625e-07,0.0
53,9.5367431640625e-07,9.5367431640625e-07,0.0
54,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
55,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
56,9.5367431640625e-07,1.6689300537109375e-06,0.0
57,1.1920928955078125e-06,1.6689300537109375e-06,2.384185791015625e-07
58,9.5367431640625e-07,1.6689300537109375e-06,2.384185791015625e-07
59,1.1920928955078125e-06,9.5367431640625e-07,0.0
60,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
61,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
62,9.5367431640625e-07,1.430511474609375e-06,0.0
63,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
64,1.1920928955078125e-06,1.1920928955078125e-06,0.0
65,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
66,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
67,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
68,9.5367431640625e-07,1.1920928955078125e-06,0.0
69,1.1920928955078125e-06,1.1920928955078125e-06,0.0
70,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
71,1.1920928955078125e-06,2.1457672119140625e-06,0.0
72,9.5367431640625e-07,1.9073486328125e-06,2.384185791015625e-07
73,9.5367431640625e-07,2.86102294921875e-06,2.384185791015625e-07
74,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
75,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
76,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
77,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
78,9.5367431640625e-07,1.430511474609375e-06,0.0
79,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
80,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
81,9.5367431640625e-07,1.1920928955078125e-06,0.0
82,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
83,9.5367431640625e-07,9.5367431640625e-07,0.0
84,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
85,9.5367431640625e-07,1.1920928955078125e-06,4.76837158203125e-07
86,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
87,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
88,9.5367431640625e-07,9.5367431640625e-07,0.0
89,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
90,9.5367431640625e-07,9.5367431640625e-07,0.0
91,1.1920928955078125e-06,1.430511474609375e-06,2.384185791015625e-07
92,9.5367431640625e-07,1.430511474609375e-06,2.384185791015625e-07
93,1.1920928955078125e-06,1.430511474609375e-06,4.76837158203125e-07
94,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
95,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
96,7.152557373046875e-07,1.1920928955078125e-06,0.0
97,7.152557373046875e-07,1.1920928955078125e-06,2.384185791015625e-07
98,1.1920928955078125e-06,9.5367431640625e-07,2.384185791015625e-07
99,9.5367431640625e-07,1.1920928955078125e-06,2.384185791015625e-07
100,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
101,9.5367431640625e-07,9.5367431640625e-07,0.0
102,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
103,9.5367431640625e-07,9.5367431640625e-07,0.0
104,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
105,1.430511474609375e-06,9.5367431640625e-07,2.384185791015625e-07
106,9.5367431640625e-07,1.1920928955078125e-06,0.0
