id,insert_latency,update_latency,delete_latency
0,1.049041748046875e-05,1.1920928955078125e-06,5.245208740234375e-06
1,9.5367431640625e-07,7.152557373046875e-07,4.76837158203125e-07
2,7.152557373046875e-07,9.5367431640625e-07,0.0
3,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
4,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
5,7.152557373046875e-07,4.76837158203125e-07,4.76837158203125e-07
6,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
7,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
8,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
9,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
10,7.152557373046875e-07,4.76837158203125e-07,0.0
11,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
12,4.76837158203125e-07,4.76837158203125e-07,0.0
13,4.76837158203125e-07,4.76837158203125e-07,0.0
14,4.76837158203125e-07,7.152557373046875e-07,0.0
15,4.76837158203125e-07,7.152557373046875e-07,0.0
16,4.76837158203125e-07,9.5367431640625e-07,0.0
17,4.76837158203125e-07,7.152557373046875e-07,0.0
18,4.76837158203125e-07,9.5367431640625e-07,0.0
19,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
20,4.76837158203125e-07,9.5367431640625e-07,0.0
21,4.76837158203125e-07,9.5367431640625e-07,0.0
22,2.384185791015625e-07,4.76837158203125e-07,0.0
23,4.76837158203125e-07,7.152557373046875e-07,0.0
24,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
25,2.384185791015625e-07,7.152557373046875e-07,2.384185791015625e-07
26,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
27,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
28,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
29,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
30,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
31,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
32,4.76837158203125e-07,4.76837158203125e-07,0.0
33,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
34,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
35,2.384185791015625e-07,7.152557373046875e-07,0.0
36,4.76837158203125e-07,7.152557373046875e-07,0.0
37,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
38,2.384185791015625e-07,7.152557373046875e-07,0.0
39,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
40,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
41,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
42,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
43,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
44,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
45,4.76837158203125e-07,9.5367431640625e-07,0.0
46,4.76837158203125e-07,7.152557373046875e-07,0.0
47,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
48,2.384185791015625e-07,7.152557373046875e-07,0.0
49,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
50,2.384185791015625e-07,4.76837158203125e-07,2.384185791015625e-07
51,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
52,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
53,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
54,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
55,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
56,4.76837158203125e-07,4.76837158203125e-07,0.0
57,4.76837158203125e-07,4.76837158203125e-07,0.0
58,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
59,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
60,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
61,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
62,2.384185791015625e-07,7.152557373046875e-07,2.384185791015625e-07
63,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
