id,insert_latency,update_latency,delete_latency
0,1.52587890625e-05,3.5762786865234375e-06,3.814697265625e-06
1,1.1920928955078125e-06,1.1920928955078125e-06,2.384185791015625e-07
2,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
3,4.76837158203125e-07,4.76837158203125e-07,0.0
4,4.76837158203125e-07,7.152557373046875e-07,0.0
5,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
6,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
7,4.76837158203125e-07,7.152557373046875e-07,0.0
8,4.76837158203125e-07,4.76837158203125e-07,0.0
9,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
10,4.76837158203125e-07,7.152557373046875e-07,0.0
11,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
12,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
13,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
14,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07
15,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
16,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
17,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
18,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
19,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
20,7.152557373046875e-07,7.152557373046875e-07,0.0
21,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
22,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
23,7.152557373046875e-07,4.76837158203125e-07,0.0
24,4.76837158203125e-07,7.152557373046875e-07,0.0
25,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
26,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
27,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07
28,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
29,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
30,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
31,4.76837158203125e-07,4.76837158203125e-07,0.0
32,4.76837158203125e-07,4.76837158203125e-07,0.0
33,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
34,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
35,4.76837158203125e-07,4.76837158203125e-07,0.0
36,4.76837158203125e-07,7.152557373046875e-07,0.0
37,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
38,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
39,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
