id,insert_latency,update_latency,delete_latency
0,1.1682510375976562e-05,2.1457672119140625e-06,2.6226043701171875e-06
1,9.5367431640625e-07,7.152557373046875e-07,2.384185791015625e-07
2,9.5367431640625e-07,9.5367431640625e-07,2.384185791015625e-07
3,4.76837158203125e-07,4.76837158203125e-07,0.0
4,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
5,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
6,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
7,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
8,9.5367431640625e-07,4.76837158203125e-07,2.384185791015625e-07
9,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
10,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
11,7.152557373046875e-07,4.76837158203125e-07,0.0
12,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
13,4.76837158203125e-07,7.152557373046875e-07,0.0
14,4.76837158203125e-07,4.76837158203125e-07,0.0
15,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
16,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
17,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
18,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
19,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
20,4.76837158203125e-07,7.152557373046875e-07,0.0
21,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
22,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
23,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
24,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
25,4.76837158203125e-07,9.5367431640625e-07,0.0
26,4.76837158203125e-07,4.76837158203125e-07,0.0
27,4.76837158203125e-07,4.76837158203125e-07,0.0
28,7.152557373046875e-07,4.76837158203125e-07,0.0
29,4.76837158203125e-07,4.76837158203125e-07,0.0
30,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
31,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
32,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
33,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
34,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
35,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
36,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
37,7.152557373046875e-07,4.76837158203125e-07,0.0
38,9.5367431640625e-07,4.76837158203125e-07,0.0
39,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
40,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
41,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
