id,insert_latency,update_latency,delete_latency
0,1.2874603271484375e-05,2.384185791015625e-06,2.384185791015625e-06
1,1.1920928955078125e-06,7.152557373046875e-07,7.152557373046875e-07
2,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
3,4.76837158203125e-07,4.76837158203125e-07,0.0
4,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
5,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
6,7.152557373046875e-07,7.152557373046875e-07,0.0
7,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
8,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
9,4.76837158203125e-07,4.76837158203125e-07,0.0
10,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
11,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
12,7.152557373046875e-07,7.152557373046875e-07,0.0
13,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
14,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
15,4.76837158203125e-07,7.152557373046875e-07,0.0
16,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
17,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
18,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
19,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
20,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
21,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
22,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
23,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
24,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
25,4.76837158203125e-07,4.76837158203125e-07,0.0
26,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
27,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
28,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
29,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
30,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
31,4.76837158203125e-07,7.152557373046875e-07,0.0
32,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
33,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
34,4.76837158203125e-07,4.76837158203125e-07,0.0
35,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
36,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
37,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
38,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
39,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
40,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
41,2.384185791015625e-07,4.76837158203125e-07,2.384185791015625e-07
42,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
43,4.76837158203125e-07,4.76837158203125e-07,0.0
44,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
45,4.76837158203125e-07,4.76837158203125e-07,0.0
46,4.76837158203125e-07,7.152557373046875e-07,0.0
47,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
48,7.152557373046875e-07,4.76837158203125e-07,0.0
49,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
50,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
51,7.152557373046875e-07,4.76837158203125e-07,0.0
52,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
53,4.76837158203125e-07,4.76837158203125e-07,0.0
54,4.76837158203125e-07,7.152557373046875e-07,0.0
55,2.384185791015625e-07,4.76837158203125e-07,2.384185791015625e-07
56,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
57,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
58,4.76837158203125e-07,7.152557373046875e-07,0.0
59,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
60,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
61,4.76837158203125e-07,4.76837158203125e-07,0.0
62,7.152557373046875e-07,4.76837158203125e-07,0.0
63,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
64,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
65,2.384185791015625e-07,7.152557373046875e-07,2.384185791015625e-07
66,4.76837158203125e-07,4.76837158203125e-07,0.0
67,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
68,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
69,7.152557373046875e-07,4.76837158203125e-07,4.76837158203125e-07
70,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
71,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
72,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
73,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
74,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
75,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
76,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
77,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
78,4.76837158203125e-07,7.152557373046875e-07,0.0
79,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
80,4.76837158203125e-07,4.76837158203125e-07,0.0
81,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07
82,4.76837158203125e-07,4.76837158203125e-07,0.0
83,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
84,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
85,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
86,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
87,9.5367431640625e-07,4.76837158203125e-07,2.384185791015625e-07
88,4.76837158203125e-07,4.76837158203125e-07,0.0
89,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
90,7.152557373046875e-07,4.76837158203125e-07,0.0
91,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
92,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
93,7.152557373046875e-07,4.76837158203125e-07,0.0
94,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
95,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
96,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
97,7.152557373046875e-07,4.76837158203125e-07,0.0
98,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
99,4.76837158203125e-07,7.152557373046875e-07,0.0
100,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
101,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
102,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
103,4.76837158203125e-07,4.76837158203125e-07,0.0
104,7.152557373046875e-07,7.152557373046875e-07,0.0
105,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
106,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
107,4.76837158203125e-07,4.76837158203125e-07,0.0
108,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
109,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
110,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
111,7.152557373046875e-07,4.76837158203125e-07,0.0
112,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
113,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
114,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
115,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
116,4.76837158203125e-07,7.152557373046875e-07,0.0
117,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
118,4.76837158203125e-07,4.76837158203125e-07,0.0
119,4.76837158203125e-07,4.76837158203125e-07,0.0
120,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
121,7.152557373046875e-07,4.76837158203125e-07,0.0
122,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
123,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
124,4.76837158203125e-07,7.152557373046875e-07,0.0
125,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
126,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
127,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
128,7.152557373046875e-07,7.152557373046875e-07,0.0
129,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
130,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
131,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
132,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
133,4.76837158203125e-07,4.76837158203125e-07,0.0
134,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
135,4.76837158203125e-07,4.76837158203125e-07,0.0
136,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
137,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
138,7.152557373046875e-07,4.76837158203125e-07,4.76837158203125e-07
139,4.76837158203125e-07,4.76837158203125e-07,0.0
140,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
141,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
142,7.152557373046875e-07,9.5367431640625e-07,2.384185791015625e-07
143,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
144,7.152557373046875e-07,7.152557373046875e-07,0.0
145,7.152557373046875e-07,9.5367431640625e-07,4.76837158203125e-07
146,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
147,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
148,4.76837158203125e-07,7.152557373046875e-07,0.0
149,4.76837158203125e-07,4.76837158203125e-07,0.0
150,4.76837158203125e-07,7.152557373046875e-07,0.0
151,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
152,4.76837158203125e-07,9.5367431640625e-07,4.76837158203125e-07
153,4.76837158203125e-07,7.152557373046875e-07,0.0
154,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
155,7.152557373046875e-07,9.5367431640625e-07,2.384185791015625e-07
156,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
157,4.76837158203125e-07,4.76837158203125e-07,0.0
158,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
159,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
160,7.152557373046875e-07,4.76837158203125e-07,0.0
161,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
162,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
163,4.76837158203125e-07,4.76837158203125e-07,0.0
164,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
165,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
166,9.5367431640625e-07,4.76837158203125e-07,2.384185791015625e-07
167,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
168,4.76837158203125e-07,4.76837158203125e-07,0.0
169,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
170,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
171,4.76837158203125e-07,4.76837158203125e-07,0.0
172,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
173,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
174,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
175,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
176,4.76837158203125e-07,4.76837158203125e-07,0.0
177,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
178,4.76837158203125e-07,4.76837158203125e-07,0.0
179,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
180,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
181,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
182,4.76837158203125e-07,4.76837158203125e-07,0.0
183,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
184,4.76837158203125e-07,4.76837158203125e-07,0.0
185,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
186,9.5367431640625e-07,4.76837158203125e-07,2.384185791015625e-07
187,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
188,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
189,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
190,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
191,4.76837158203125e-07,4.76837158203125e-07,0.0
192,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
193,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
194,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
195,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
196,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07
197,4.76837158203125e-07,9.5367431640625e-07,0.0
198,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
199,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
200,4.76837158203125e-07,9.5367431640625e-07,0.0
201,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
202,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
203,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
204,4.76837158203125e-07,4.76837158203125e-07,0.0
205,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
206,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
207,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
208,7.152557373046875e-07,9.5367431640625e-07,0.0
209,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
210,4.76837158203125e-07,9.5367431640625e-07,0.0
211,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
212,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
213,4.76837158203125e-07,9.5367431640625e-07,0.0
214,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
215,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
216,4.76837158203125e-07,7.152557373046875e-07,0.0
217,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
218,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
219,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
220,4.76837158203125e-07,7.152557373046875e-07,0.0
221,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
222,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
223,4.76837158203125e-07,7.152557373046875e-07,0.0
224,1.0728836059570312e-05,4.76837158203125e-07,2.384185791015625e-07
225,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
226,7.152557373046875e-07,4.76837158203125e-07,0.0
227,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
228,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
229,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
230,4.76837158203125e-07,4.76837158203125e-07,0.0
231,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
232,4.76837158203125e-07,7.152557373046875e-07,0.0
233,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
234,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
235,4.76837158203125e-07,7.152557373046875e-07,0.0
236,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
237,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
238,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
239,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
240,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
241,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
242,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
243,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
244,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
245,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
246,4.76837158203125e-07,4.76837158203125e-07,0.0
247,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
248,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
249,4.76837158203125e-07,7.152557373046875e-07,0.0
250,2.384185791015625e-07,4.76837158203125e-07,2.384185791015625e-07
251,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
252,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
