id,insert_latency,update_latency,delete_latency
0,1.5735626220703125e-05,2.1457672119140625e-06,2.6226043701171875e-06
1,1.1920928955078125e-06,7.152557373046875e-07,4.76837158203125e-07
2,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
3,9.5367431640625e-07,4.76837158203125e-07,2.384185791015625e-07
4,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
5,4.76837158203125e-07,9.5367431640625e-07,0.0
6,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
7,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
8,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
9,4.76837158203125e-07,4.76837158203125e-07,0.0
10,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
11,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
12,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
13,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
14,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
15,4.76837158203125e-07,4.76837158203125e-07,4.76837158203125e-07
16,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
17,4.76837158203125e-07,4.76837158203125e-07,0.0
18,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
19,4.76837158203125e-07,7.152557373046875e-07,0.0
20,4.76837158203125e-07,4.76837158203125e-07,0.0
21,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
22,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07
23,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
24,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
25,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
26,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
27,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
28,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
29,7.152557373046875e-07,4.76837158203125e-07,2.384185791015625e-07
30,9.5367431640625e-07,7.152557373046875e-07,2.384185791015625e-07
31,4.76837158203125e-07,9.5367431640625e-07,0.0
32,4.76837158203125e-07,9.5367431640625e-07,0.0
33,7.152557373046875e-07,7.152557373046875e-07,2.384185791015625e-07
34,4.76837158203125e-07,7.152557373046875e-07,4.76837158203125e-07
35,4.76837158203125e-07,9.5367431640625e-07,2.384185791015625e-07
36,4.76837158203125e-07,7.152557373046875e-07,2.384185791015625e-07
37,9.5367431640625e-07,4.76837158203125e-07,0.0
38,4.76837158203125e-07,4.76837158203125e-07,2.384185791015625e-07
