jobs=68 runnable=52 blocked=16 parallelism=4
START artificial-corr-12-original__rangepq slot=0 cpuset=0-27
START artificial-corr-12-original__digra slot=1 cpuset=28-55
START artificial-corr-12-original__acorn slot=2 cpuset=56-83
START artificial-corr-12-original__irangegraph slot=3 cpuset=84-111
DONE artificial-corr-12-original__rangepq status=failed rc=1
DONE artificial-corr-12-original__acorn status=failed rc=134
START artificial-corr-12-original__hnswlib-hnsw slot=0 cpuset=0-27
START artificial-corr-12-original__faiss-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-original__faiss-hnsw status=failed rc=1
START artificial-corr-12-original__milvus-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-original__milvus-hnsw status=failed rc=127
START artificial-corr-12-original__milvus-ivfpq slot=2 cpuset=56-83
DONE artificial-corr-12-original__milvus-ivfpq status=complete rc=0
START artificial-corr-12-original__milvus-gpu-ivfpq slot=2 cpuset=56-83
DONE artificial-corr-12-original__irangegraph status=failed rc=2
START artificial-corr-12-original__qdrant slot=3 cpuset=84-111
DONE artificial-corr-12-original__qdrant status=failed rc=1
START artificial-corr-12-original__redis-hnsw slot=3 cpuset=84-111
DONE artificial-corr-12-original__milvus-gpu-ivfpq status=complete rc=0
START artificial-corr-12-original__milvus-gpu-cagra slot=2 cpuset=56-83
DONE artificial-corr-12-original__redis-hnsw status=failed rc=1
START artificial-corr-12-original__elasticsearch-hnsw slot=3 cpuset=84-111
DONE artificial-corr-12-original__elasticsearch-hnsw status=failed rc=1
START artificial-corr-12-shuffled__rangepq slot=3 cpuset=84-111
DONE artificial-corr-12-shuffled__rangepq status=failed rc=1
START artificial-corr-12-shuffled__digra slot=3 cpuset=84-111
DONE artificial-corr-12-original__milvus-gpu-cagra status=complete rc=0
START artificial-corr-12-shuffled__acorn slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__acorn status=complete rc=0
START artificial-corr-12-shuffled__irangegraph slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__irangegraph status=complete rc=0
START artificial-corr-12-shuffled__hnswlib-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__hnswlib-hnsw status=complete rc=0
START artificial-corr-12-shuffled__faiss-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__faiss-hnsw status=failed rc=1
START artificial-corr-12-shuffled__milvus-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__milvus-hnsw status=complete rc=0
START artificial-corr-12-shuffled__milvus-ivfpq slot=2 cpuset=56-83
DONE artificial-corr-12-shuffled__milvus-ivfpq status=complete rc=0
START artificial-corr-12-shuffled__milvus-gpu-ivfpq slot=2 cpuset=56-83
