jobs=68 runnable=23 blocked=16 parallelism=4
START artificial-corr-12-original__rangepq slot=0 cpuset=0-27
START artificial-corr-12-original__digra slot=1 cpuset=28-55
START artificial-corr-12-original__acorn slot=2 cpuset=56-83
START artificial-corr-12-original__irangegraph slot=3 cpuset=84-111
DONE artificial-corr-12-original__rangepq status=failed rc=139
START artificial-corr-12-original__hnswlib-hnsw slot=0 cpuset=0-27
DONE artificial-corr-12-original__acorn status=complete rc=0
START artificial-corr-12-original__faiss-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-original__irangegraph status=complete rc=0
START artificial-corr-12-original__milvus-hnsw slot=3 cpuset=84-111
DONE artificial-corr-12-original__milvus-hnsw status=complete rc=0
START artificial-corr-12-original__qdrant slot=3 cpuset=84-111
DONE artificial-corr-12-original__qdrant status=complete rc=0
START artificial-corr-12-original__redis-hnsw slot=3 cpuset=84-111
DONE artificial-corr-12-original__digra status=complete rc=0
START artificial-corr-12-original__elasticsearch-hnsw slot=1 cpuset=28-55
DONE artificial-corr-12-original__elasticsearch-hnsw status=complete rc=0
START artificial-corr-12-shuffled__rangepq slot=1 cpuset=28-55
DONE artificial-corr-12-shuffled__rangepq status=failed rc=139
START artificial-corr-12-shuffled__digra slot=1 cpuset=28-55
DONE artificial-corr-12-original__hnswlib-hnsw status=complete rc=0
START artificial-corr-12-shuffled__faiss-hnsw slot=0 cpuset=0-27
DONE artificial-corr-12-shuffled__faiss-hnsw status=complete rc=0
START artificial-corr-12-shuffled__qdrant slot=0 cpuset=0-27
DONE artificial-corr-12-original__redis-hnsw status=complete rc=0
START cc_news-original__rangepq slot=3 cpuset=84-111
DONE cc_news-original__rangepq status=failed rc=139
START cc_news-original__hnswlib-hnsw slot=3 cpuset=84-111
DONE cc_news-original__hnswlib-hnsw status=failed rc=1
START cc_news-original__milvus-gpu-ivfpq slot=3 cpuset=84-111
DONE artificial-corr-12-original__faiss-hnsw status=complete rc=0
START cc_news-original__redis-hnsw slot=2 cpuset=56-83
DONE cc_news-original__milvus-gpu-ivfpq status=complete rc=0
START cc_news-original__milvus-gpu-cagra slot=3 cpuset=84-111
DONE cc_news-original__redis-hnsw status=failed rc=1
START cc_news-original__elasticsearch-hnsw slot=2 cpuset=56-83
DONE cc_news-original__milvus-gpu-cagra status=complete rc=0
START cc_news-shuffled__rangepq slot=3 cpuset=84-111
DONE cc_news-shuffled__rangepq status=failed rc=139
START cc_news-shuffled__hnswlib-hnsw slot=3 cpuset=84-111
DONE cc_news-shuffled__hnswlib-hnsw status=failed rc=1
DONE artificial-corr-12-shuffled__qdrant status=complete rc=0
START cc_news-original__qdrant slot=0 cpuset=0-27
DONE cc_news-original__elasticsearch-hnsw status=complete rc=0
DONE artificial-corr-12-shuffled__digra status=complete rc=0
DONE cc_news-original__qdrant status=complete rc=0
