jobs=68 runnable=16 blocked=0 parallelism=4
START artificial-corr-12-original__weaviate-hnsw slot=0 cpuset=0-27
START artificial-corr-12-original__vearch-ivfpq slot=1 cpuset=28-55
START artificial-corr-12-original__pgvector-hnsw slot=2 cpuset=56-83
DONE artificial-corr-12-original__vearch-ivfpq status=complete rc=0
START artificial-corr-12-original__vearch-hnsw slot=1 cpuset=28-55
DONE artificial-corr-12-original__vearch-hnsw status=complete rc=0
START artificial-corr-12-shuffled__vearch-ivfpq slot=1 cpuset=28-55
DONE artificial-corr-12-shuffled__vearch-ivfpq status=complete rc=0
START artificial-corr-12-shuffled__vearch-hnsw slot=1 cpuset=28-55
DONE artificial-corr-12-shuffled__vearch-hnsw status=complete rc=0
START cc_news-original__vearch-ivfpq slot=1 cpuset=28-55
DONE cc_news-original__vearch-ivfpq status=complete rc=0
START cc_news-original__vearch-hnsw slot=1 cpuset=28-55
DONE cc_news-original__vearch-hnsw status=complete rc=0
START cc_news-shuffled__vearch-ivfpq slot=1 cpuset=28-55
DONE cc_news-shuffled__vearch-ivfpq status=complete rc=0
START cc_news-shuffled__vearch-hnsw slot=1 cpuset=28-55
DONE cc_news-shuffled__vearch-hnsw status=complete rc=0
DONE artificial-corr-12-original__pgvector-hnsw status=failed rc=127
START artificial-corr-12-shuffled__pgvector-hnsw slot=1 cpuset=28-55
DONE artificial-corr-12-original__weaviate-hnsw status=failed rc=127
START artificial-corr-12-shuffled__weaviate-hnsw slot=0 cpuset=0-27
DONE artificial-corr-12-shuffled__pgvector-hnsw status=complete rc=0
START cc_news-original__pgvector-hnsw slot=1 cpuset=28-55
DONE cc_news-original__pgvector-hnsw status=complete rc=0
START cc_news-shuffled__pgvector-hnsw slot=1 cpuset=28-55
DONE artificial-corr-12-shuffled__weaviate-hnsw status=complete rc=0
START cc_news-original__weaviate-hnsw slot=0 cpuset=0-27
DONE cc_news-shuffled__pgvector-hnsw status=failed rc=4
DONE cc_news-original__weaviate-hnsw status=failed rc=4
START cc_news-shuffled__weaviate-hnsw slot=0 cpuset=0-27
